,C1,C2,G
1987-07-01,127.24146377691164,24.449709269697458,-3.6673173458585815e-15
1987-08-01,118.11802756332143,15.858289012793877,3.896524679974743e-15
1987-09-01,34.28410988884316,38.48848297001118,0.0020147886043586044
1987-10-01,18.966524929618643,17.797710859589483,10.639219220271213
1987-11-01,15.062780603926083,1.9316671315968448,20.285861777584213
1987-12-01,16.759392823477587,2.1669410848569663,109.7046913327561
1988-01-01,11.900818035615474,2.707110633972959,15.033791239581742
1988-02-01,34.28020085885634,16.996676547355325,55.45071521613872
1988-03-01,45.761666101380385,37.319955784460404,93.54187552847837
1988-04-01,47.170471402402306,54.44169034138394,57.18992941269817
1988-05-01,49.752573724667876,105.29304464631485,45.831686227600045
1988-06-01,76.99724969770861,57.43185927385662,19.782921453387356
